State ,Metro City ,County,Average Houseprice(ZHVI)$,Electricity rates(kWh),Laws and Incentives score,DC charging T/F,No: of chargers,Population 
GA,Atlanta Area ,Gilmer ,215100,11.65,6,0,0,28292
GA,Atlanta Area ,Pickens,197800,11.65,6,0,0,29431
GA,Atlanta Area ,Cherokee,265700,11.65,6,1,1,214346
GA,Atlanta Area ,Forsyth ,342200,11.65,6,1,1,175511
GA,Atlanta Area ,Bartow,179100,11.65,6,0,0,100157
GA,Atlanta Area ,Paulding ,235495,11.65,6,0,0,142324
GA,Atlanta Area ,Cobb,262300,11.65,6,1,2,688078
GA,Atlanta Area ,Douglas,88600,11.65,6,0,0,132403
GA,Atlanta Area ,Fulton ,290000,11.65,6,1,2,920581
GA,Atlanta Area ,City of Atlanta,264500,11.65,6,1,2,420003
GA,Atlanta Area ,Fayette ,285800,11.65,6,0,0,106567
GA,Atlanta Area ,Clayton ,171000,11.65,6,1,1,259424
GA,Atlanta Area ,Rockdale ,171600,11.65,6,0,0,85215
GA,Atlanta Area ,Dekalb,208600,11.65,6,1,1,691893
GA,Atlanta Area ,Gwinnett,237600,11.65,6,1,2,805321
GA,Atlanta Area ,Walton ,208100,11.65,6,0,0,83768
GA,Atlanta Area ,Hall,201900,11.65,6,1,1,179684
TX,Austin Area,Williamson ,299291,11.85,14,1,2,422679
TX,Austin Area,Caldwell,135800,11.85,14,0,0,38066
TX,Austin Area,Bastrop,239000,11.85,14,0,0,74171
MA,Boston Area ,Saugus,410200,22.02,24,1,1,26628
MA,Boston Area ,Chelsea,375000,22.02,24,1,1,35177
MA,Boston Area ,Winthrop ,475000,22.02,24,0,0,17497
MA,Boston Area ,Boston,596700,22.02,24,1,3,617594
MA,Boston Area ,Milton ,701500,22.02,24,0,0,27003
MA,Boston Area ,Baintree ,480400,22.02,24,1,3,35744
MA,Boston Area ,Hull ,416300,22.02,24,0,0,10293
MA,Boston Area ,Hingham ,416300,22.02,24,0,0,5650
IL,Chicago Area ,McHenry ,174900,12.47,15,0,0,308760
