Fuel_Category,Zip Code,Count
Electric,UNKNOWN,70
Electric,20601,20
Electric,20602,20
Electric,20603,39
Electric,20607,32
Electric,20613,22
Electric,20616,5
Electric,20619,20
Electric,20620,2
Electric,20621,2
Electric,20622,2
Electric,20623,3
Electric,20628,1
Electric,20629,1
Electric,20630,3
Electric,20634,8
Electric,20636,14
Electric,20637,10
Electric,20639,15
Electric,20640,4
Electric,20645,2
Electric,20646,20
Electric,20650,24
Electric,20652,1
Electric,20653,14
Electric,20657,14
Electric,20658,1
Electric,20659,11
Electric,20664,5
Electric,20675,3
Electric,20676,3
Electric,20677,3
Electric,20678,10
Electric,20680,1
Electric,20684,2
Electric,20685,7
Electric,20688,6
Electric,20689,3
Electric,20690,5
Electric,20695,12
Electric,20701,4
Electric,20705,28
Electric,20706,15
Electric,20707,52
Electric,20708,15
Electric,20710,2
Electric,20711,8
Electric,20712,8
Electric,20714,6
Electric,20715,47
Electric,20716,36
Electric,20720,63
Electric,20721,62
Electric,20722,2
Electric,20723,152
Electric,20724,30
Electric,20732,16
Electric,20733,6
Electric,20735,27
Electric,20736,17
Electric,20737,14
Electric,20740,49
Electric,20743,19
Electric,20744,71
Electric,20745,32
Electric,20746,13
Electric,20747,8
Electric,20748,14
Electric,20749,1
Electric,20751,8
Electric,20754,8
Electric,20755,10
Electric,20758,1
Electric,20759,95
Electric,20762,4
Electric,20763,3
Electric,20764,1
Electric,20765,1
Electric,20769,16
Electric,20770,53
Electric,20771,3
Electric,20772,67
Electric,20774,58
Electric,20776,9
Electric,20777,46
Electric,20778,6
Electric,20779,5
Electric,20781,22
Electric,20782,30
Electric,20783,12
Electric,20784,6
Electric,20785,24
Electric,20794,29
Electric,20812,3
Electric,20814,243
Electric,20815,261
Electric,20816,153
Electric,20817,458
Electric,20818,26
Electric,20832,70
Electric,20833,47
Electric,20837,49
Electric,20841,58
Electric,20842,7
Electric,20850,401
Electric,20851,26
Electric,20852,213
Electric,20853,77
Electric,20854,636
Electric,20855,129
Electric,20860,13
Electric,20861,13
Electric,20862,1
Electric,20866,27
Electric,20868,2
Electric,20871,217
Electric,20872,38
Electric,20874,143
Electric,20876,75
Electric,20877,58
Electric,20878,388
Electric,20879,55
Electric,20880,3
Electric,20882,68
Electric,20886,48
Electric,20895,116
Electric,20896,12
Electric,20901,84
Electric,20902,108
Electric,20903,17
Electric,20904,118
Electric,20905,69
Electric,20906,129
Electric,20910,176
Electric,20912,98
Electric,21001,10
Electric,21005,5
Electric,21009,25
Electric,21010,1
Electric,21012,50
Electric,21013,13
Electric,21014,41
Electric,21015,43
Electric,21017,6
Electric,21023,1
Electric,21028,7
Electric,21029,173
Electric,21030,69
Electric,21031,2
Electric,21032,41
Electric,21034,1
Electric,21035,32
Electric,21036,21
Electric,21037,62
Electric,21040,5
Electric,21042,261
Electric,21043,215
Electric,21044,188
Electric,21045,114
Electric,21046,60
Electric,21047,22
Electric,21048,26
Electric,21050,23
Electric,21051,1
Electric,21053,6
Electric,21054,53
Electric,21056,5
Electric,21057,13
Electric,21060,68
Electric,21061,30
Electric,21071,2
Electric,21074,14
Electric,21075,112
Electric,21076,94
Electric,21077,1
Electric,21078,36
Electric,21082,1
Electric,21084,3
Electric,21085,7
Electric,21087,10
Electric,21090,25
Electric,21093,127
Electric,21102,13
Electric,21104,32
Electric,21108,48
Electric,21111,24
Electric,21113,68
Electric,21114,42
Electric,21117,146
Electric,21120,22
Electric,21122,67
Electric,21128,33
Electric,21131,26
Electric,21132,1
Electric,21133,12
