Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
4286,CT,Alternative Fuel Fueling Infrastructure and Alternative Fuel Vehicle (AFV) Conversion Tax Credit,"Prior to January 1, 2008, a Corporation Business Tax credit is
available for 50% of the following expenditures: the construction
of, improvements to, or equipment for any compressed natural gas
(CNG), liquefied natural gas (LNG), or liquefied petroleum gas
(LPG) refueling station or an electric vehicle recharging
station; or the purchase and installation of equipment used in
dedicated or dual-fuel CNG, LNG, LPG, or electric vehicle
conversions. This credit may be carried forward for up to three
years. (Reference Connecticut General Statutes ( http://www.cga.ct.gov ) 12-217i)",,,FALSE,10,State Incentives,,,2008-01-01 00:00:00 UTC,,,,ELEC|NG|PHEV|LPG,TAX,,STATION|IND|FLEET,
4368,IL,Alternative Fuel Vehicle (AFV) and Alternative Fuel Rebates,"The Illinois Alternate Fuels Rebate Program provides a rebate for 80%,
up to \$4,000, of the incremental cost of purchasing an AFV; 80%, up to
\$4,000, of the cost of converting a conventional vehicle to an AFV
using a federally certified conversion; and the incremental cost of
purchasing alternative fuels. Eligible fuels for the program include
E85, fuel blends containing at least 20% biodiesel (B20), natural gas,
propane, electricity, and hydrogen. A vehicle may receive one rebate in
its lifetime. Only AFVs purchased from an Illinois-based company or
vendor may qualify, except if the vehicle is a heavy-duty specialty
vehicle that is not sold in Illinois. To qualify for a fuel rebate, the
entity or individual must purchase the majority of E85 or biodiesel fuel
from Illinois retail stations or fuel suppliers. The E85 fuel rebate is
up to \$450 per year (depending on vehicle miles traveled) for up to
three years for each flexible fuel vehicle that uses E85 at least half
the time. The biodiesel fuel rebate (for B20 and higher blends) is for
80% of the incremental cost of the biodiesel fuel, as compared to
conventional diesel. Rebates are part of the Illinois Green Fleets
Program and are available to all qualified Illinois residents,
businesses, government units (except federal government), and
organizations located in Illinois. This program is suspended
indefinitely (verified August 2016). For more information, including a
list of eligible vehicles, see the [Illinois Alternate Fuels Rebate
Program](http://www.illinoisgreenfleets.org/). (Reference 415 [Illinois
Compiled Statutes](http://www.ilga.gov/legislation/ilcs/ilcs.asp)
120/30)
",2005-06-20 00:00:00 UTC,2015-03-16 00:00:00 UTC,FALSE,10,State Incentives,,2015-07-10 17:38:39 UTC,,2017-10-01 00:00:00 UTC,,,AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,RBATE,,PURCH|IND|FLEET,
4446,LA,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Tax Credit,"The following was repealed by Act ( http://www.legis.state.la.us/ ) No. 469, Section 2, 2009: The state offers an income tax credit
worth 20% of the cost of converting a vehicle to operate on an
alternative fuel, 20% of the incremental cost of purchasing an
Original Equipment Manufacturer (OEM) AFV or hybrid electric
vehicle (HEV), and 20% of the cost of constructing an alternative
fueling station. Only vehicles registered in Louisiana can
receive the tax credit. For the purpose of this incentive,
alternative fuels include compressed natural gas, liquefied
natural gas, liquefied petroleum gas, methanol, ethanol,
electricity, and any other fuels which meet or exceed federal
clean air standards. (Reference Louisiana Revised Statutes ( http://www.legis.state.la.us/ ) 47:38 and 47:287.757)",,,FALSE,10,State Hybrid Incentives,,,,,2009-07-09 00:00:00 UTC,,ETH|ELEC|HEV|HY|NG|PHEV|LPG,TAX,,STATION|IND|FLEET,http://www.legis.state.la.us/
4629,NY,Alternative Fuel Vehicle (AFV) Tax Exemption,"New York provides a partial sales and use tax exemption for the
incremental cost of new AFVs and for vehicles that are converted
to run on alternative fuels. This exemption is effective through
October 1, 2006. (Reference New York Tax Law ( http://public.leginfo.state.ny.us/menugetf.cgi ) Article 28,
Section 1115)",,,FALSE,70,Laws and Regulations,,,2006-09-01 00:00:00 UTC,,,,ETH|ELEC|HY|NG|PHEV|LPG,EXEM|TAX,FUEL,IND|FLEET,
4667,OK,Alternative Fuel Vehicle (AFV) Tax Credit,"Prior to January 1, 2009, Oklahoma provides a one-time income tax
credit for 50% of the cost of converting a vehicle to operate on
an alternative fuel, or for 50% of the incremental cost of a new
OEM AFV. The state also provides a tax credit for 10% of the
total vehicle cost, up to $1,500, when an AFV is resold, as long
as a tax credit has not been previously taken on the vehicle.
Additionally, the state provides a tax credit for up to 50% of
the cost of installing refueling infrastructure for AFVs. These
tax credits may be carried forward for up to three years. The
alternative fuels eligible for the credit include compressed
natural gas (CNG), liquefied natural gas (LNG), liquefied
petroleum gas (LPG), ethanol, methanol, and electricity. This tax
credit extends to low-speed electric vehicles as defined by NHTSA
in 49 C.F.R. 571.500 and to forklifts and other similar
self-propelled vehicles. (Reference Oklahoma Statutes ( http://www.lsb.state.ok.us/ ) Section 68-2357.22)",,,FALSE,15,State Incentives,,,2009-01-01 00:00:00 UTC,,,,ETH|ELEC|NG|PHEV|LPG,TAX,,STATION|IND|FLEET,
4703,PA,Alternative Fuel Vehicle (AFV) Rebates,"The Greater Philadelphia Clean Cities Program (GPCCP) has
Congestion Mitigation Air Quality (CMAQ) funding available for
AFV rebates. The Clean Fueled Fleets Grant is designed to offer
up to 72% of the incremental cost of purchasing AFVs. Up to
$4,000 is available for light duty AFVs, up to $7,000 is
available for medium duty AFVs, and up to $10,000 is available
for heavy duty AFVs. Additionally, some of GPCCP's rebates also
cover the costs of installing and purchasing AFV refueling
stations. To qualify for these rebates, applicants must become
members of the GPCCP and complete and sign an application,
agreeing to certain terms and conditions, such as monitoring fuel
use.",,,FALSE,20,State Incentives,,,2005-11-01 00:00:00 UTC,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,RBATE,,STATION|IND|FLEET,
4758,UT,Alternative Fuel and Fuel-Efficient Vehicle Tax Credit,"Through 2016, new electric, natural gas, and propane vehicles registered
in Utah are eligible for an income tax credit of 35% of the vehicle
purchase price, up to \$1,500. Plug-in hybrid electric vehicles (PHEVs)
will be eligible for a tax credit of \$1,000. Leased electric, natural
gas, and propane vehicles are eligible for a tax credit on a prorated
basis up to \$1,500. Leased plug-in hybrid electric vehicles will be
eligible for a prorated tax credit up to \$1,000. For additional
information, including eligible vehicles and restrictions, see the Clean
Fuel Vehicle Tax Credit website. (Reference [House
Bill](http://le.utah.gov/) 87, 2016, and [Utah
Code](http://le.utah.gov/xcode/code.html) 19-1-406, 59-7-605, and
59-10-1009)
",,2016-03-29 00:00:00 UTC,FALSE,10,State Incentives,,2016-04-11 21:15:32 UTC,2016-12-31 00:00:00 UTC,,,,AFTMKTCONV|ELEC|EFFEC|NG|PHEV|LPG,TAX,,IND|FLEET,http://le.utah.gov/xcode/code.html|http://le.utah.gov/
4759,UT,Alternative Fuel Vehicle and Fueling Infrastructure Grants and Loans,"The Utah Clean Fuels and Vehicle Technology Grant and Loan Program,
funded through the Clean Fuels and Vehicle Technology Fund, provides
grants and loans to assist businesses and government entities to
include:

-   Up to 50% of the incremental cost of purchasing original equipment
    manufactured clean fuel vehicles,
-   Up to 50% of the cost of converting vehicles to a cleaner burning
    fuel, and
-   The cost of fueling equipment for public/private sector business and
    government vehicles (grants require federal and non-federal matching
    funds).

This program does not support E85 or biodiesel projects. For the purpose
of this program, clean fuels include propane, compressed natural gas,
and electricity. For more information, see the [Utah Clean Fuels
Program](https://air.utah.gov/altfuel/index.php) website.

(Reference [Utah Code](http://le.utah.gov/xcode/code.html) 19-1-401
through 19-1-405)
",,2016-03-29 00:00:00 UTC,FALSE,15,State Incentives,,2016-04-11 21:20:27 UTC,,2019-02-01 00:00:00 UTC,,,ELEC|HY|NG|PHEV|LPG,GNT|LOANS,,STATION|IND|FLEET,http://le.utah.gov/xcode/code.html
4813,WV,Alternative Fuel Vehicle (AFV) Tax Credit,"The state of West Virginia offers a tax credit for the
incremental cost of purchasing an Original Equipment Manufacturer
AFV, or for the cost of converting a vehicle to operate on an
alternative fuel. The tax credit became effective on July 1,
1997, for either personal or corporate income tax. The maximum
credit depends on the vehicle type and Gross Vehicle Weight
Rating (GVWR), as shown below, and cannot exceed the incremental
or conversion cost. Eligible alternative fuels include compressed
natural gas (CNG), liquefied natural gas, liquefied petroleum
gas, blends of 85% or more of methanol and ethanol, other
alcohols, alcohol-derived liquids, and electricity. The credit is
taken in three equal increments over three years and expires June
30, 2006.

GVWR/Vehicle Type
Non-Electric
Vehicle Tax Credit
Electric Vehicle
Tax Credit

10,000 pounds (lbs.) or less
$3,750
$4,125

10,000 to 26,000 lbs.
$9,250
$10,175

Trucks or vans over 26,000 lbs.
$50,000
$55,000

Buses seating over 20 adults
$50,000
$55,000

(Reference West Virginia Code ( http://www.legis.state.wv.us/WVCODE/masterfrm3Banner.cfm ) 11-6D)",,,FALSE,10,State Incentives,,,2006-06-30 00:00:00 UTC,,,,ETH|ELEC|NG|PHEV|LPG,TAX,,IND|FLEET,
5092,CT,Alternative Fuel Vehicle (AFV) Tax Credit,"Prior to January 1, 2008, a Corporation Business Tax credit is
available for 10% of the incremental cost of purchasing a new
dedicated compressed natural gas, liquefied natural gas,
liquefied petroleum gas, or electric vehicle. This credit may be
carried forward for up to three years. (Reference Connecticut
General Statutes ( http://www.cga.ct.gov ) 12-217i)",,,FALSE,15,State Incentives,,,2008-01-01 00:00:00 UTC,,,,ELEC|NG|PHEV|LPG,TAX,,IND|FLEET,
